"date","pres","airTemp","windDir","windSpd","head","T1m","T2m","T3m","T4m","T5m","T6m","T7m","T8m","T9m","T10m","T11m","T12m","T13m","T14m","T15m","T16m","T17m","T18m","T19m","T20m","T21m","T22m","T23m","T24m","T25m","T26m","T27m","T28m","T29m","T31m","T33m","T35m","T37m","T39m","T41m","T43m","T45m","T47m","T49m"
"10/20/2016 08:15:00 AM",30.2,8.5,287,1.2,202.8,14.62,14.61,14.65,14.64,14.61,14.6,14.63,14.6,14.6,14.59,14.6,14.6,14.6,14.62,14.63,14.6,14.57,14.56,14.56,14.57,14.55,14.52,14.55,14.51,14.46,14.4,14.2,13.99,13.69,12.89,12.02,11.13,9.85,9.15,8.87,8.67,8.44,8.28,8.01
"10/20/2016 08:30:00 AM",30.2,8.5,248,2.5,202.9,14.62,14.61,14.64,14.64,14.61,14.59,14.63,14.59,14.6,14.59,14.6,14.6,14.6,14.62,14.62,14.6,14.58,14.57,14.58,14.58,14.56,14.54,14.55,14.51,14.47,14.43,14.18,13.91,13.45,12.82,12.03,11.38,10.05,9.13,8.86,8.55,8.43,8.32,8
"10/20/2016 08:45:00 AM",30.2,8.5,197,1.8,203,14.62,14.61,14.64,14.64,14.61,14.6,14.63,14.59,14.59,14.59,14.61,14.6,14.6,14.62,14.63,14.61,14.59,14.58,14.58,14.59,14.58,14.55,14.56,14.52,14.49,14.44,14.2,13.96,13.58,12.89,12.07,11.27,9.78,9.17,8.87,8.46,8.39,8.32,8
"10/20/2016 09:00:00 AM",30.2,8.7,255,1.9,203.7,14.62,14.62,14.64,14.64,14.61,14.59,14.62,14.6,14.6,14.59,14.61,14.6,14.61,14.63,14.63,14.61,14.59,14.58,14.58,14.57,14.55,14.53,14.56,14.52,14.49,14.4,14.21,13.99,13.63,12.91,12.27,11.39,9.57,9.22,8.88,8.51,8.36,8.31,8
"10/20/2016 09:15:00 AM",30.2,8.9,188,3.5,203.4,14.62,14.61,14.65,14.65,14.62,14.6,14.63,14.6,14.6,14.6,14.61,14.61,14.6,14.62,14.63,14.61,14.59,14.57,14.56,14.55,14.54,14.53,14.56,14.53,14.48,14.48,14.25,13.99,13.56,12.9,12.29,10.83,9.59,9.15,8.94,8.72,8.4,8.35,8.04
"10/20/2016 09:30:00 AM",30.2,9.6,178,7.9,204.5,14.61,14.61,14.64,14.65,14.62,14.6,14.64,14.61,14.6,14.6,14.61,14.61,14.61,14.63,14.63,14.61,14.59,14.57,14.56,14.55,14.54,14.54,14.56,14.53,14.48,14.45,14.27,14.01,13.59,12.84,12.07,10.83,9.47,9.11,8.89,8.6,8.36,8.33,8
"10/20/2016 09:45:00 AM",30.2,10,185,7.9,204.4,14.63,14.62,14.65,14.64,14.62,14.6,14.64,14.6,14.61,14.6,14.61,14.61,14.61,14.63,14.64,14.61,14.58,14.55,14.56,14.55,14.55,14.54,14.55,14.51,14.49,14.43,14.25,14.01,13.63,13,12.31,10.85,9.34,9.07,8.86,8.78,8.42,8.34,8.04
"10/20/2016 10:00:00 AM",30.2,10,182,6.2,203,14.63,14.62,14.65,14.65,14.62,14.6,14.64,14.6,14.61,14.6,14.61,14.61,14.61,14.63,14.63,14.6,14.57,14.56,14.55,14.55,14.55,14.54,14.55,14.52,14.49,14.43,14.28,13.98,13.7,13.01,12.46,10.99,9.33,8.97,8.79,8.61,8.43,8.33,8.07
"10/20/2016 10:15:00 AM",30.2,9.9,-100000,-1e+05,202.3,14.63,14.63,14.66,14.65,14.62,14.61,14.64,14.61,14.61,14.6,14.61,14.61,14.61,14.63,14.63,14.61,14.59,14.57,14.56,14.56,14.55,14.54,14.57,14.52,14.45,14.34,14.12,13.79,13.62,12.94,12.43,11.17,9.43,9.06,8.79,8.61,8.37,8.32,8.02
"10/20/2016 10:30:00 AM",30.2,10,194,5.3,210.1,14.63,14.62,14.65,14.65,14.62,14.6,14.64,14.6,14.61,14.6,14.61,14.61,14.61,14.63,14.63,14.61,14.59,14.57,14.57,14.56,14.55,14.54,14.56,14.5,14.42,14.33,13.99,13.73,13.44,12.8,12.34,11.19,9.44,8.95,8.66,8.54,8.33,8.31,8.04
"10/20/2016 10:45:00 AM",30.2,10,181,5.3,205,14.63,14.62,14.65,14.65,14.62,14.61,14.64,14.61,14.61,14.6,14.61,14.61,14.62,14.64,14.64,14.62,14.6,14.55,14.55,14.56,14.55,14.55,14.57,14.5,14.39,14.33,13.93,13.73,13.4,12.8,12.4,11.08,9.44,8.98,8.64,8.51,8.3,8.3,8
"10/20/2016 11:00:00 AM",30.2,9.9,179,5.3,202.1,14.63,14.62,14.65,14.65,14.62,14.61,14.64,14.61,14.61,14.6,14.62,14.61,14.62,14.64,14.64,14.62,14.6,14.6,14.59,14.59,14.55,14.54,14.57,14.52,14.47,14.4,14.18,13.78,13.53,12.74,12.37,10.86,9.5,9.02,8.6,8.55,8.33,8.23,8
"10/20/2016 11:15:00 AM",30.2,10,164,5.4,204.1,14.63,14.63,14.66,14.66,14.63,14.61,14.64,14.61,14.61,14.61,14.62,14.61,14.62,14.64,14.65,14.62,14.61,14.6,14.61,14.6,14.55,14.54,14.57,14.52,14.48,14.41,14.21,13.78,13.55,12.66,12.22,10.6,9.22,8.96,8.56,8.52,8.33,8.17,8
"10/20/2016 11:30:00 AM",30.2,10.2,162,4.9,205.8,14.64,14.63,14.66,14.66,14.63,14.61,14.64,14.61,14.61,14.61,14.62,14.62,14.62,14.64,14.65,14.63,14.61,14.6,14.6,14.56,14.56,14.54,14.57,14.49,14.44,14.33,13.9,13.76,13.3,12.66,12.22,10.63,9.22,9.01,8.7,8.5,8.39,8.11,8
"10/20/2016 11:45:00 AM",30.2,10.2,175,3.3,200.7,14.64,14.63,14.67,14.66,14.63,14.62,14.65,14.62,14.62,14.61,14.62,14.62,14.62,14.65,14.65,14.63,14.61,14.6,14.59,14.57,14.55,14.54,14.57,14.5,14.44,14.32,13.96,13.82,13.22,12.64,11.95,10.33,9.11,8.95,8.6,8.48,8.36,8.17,8
"10/20/2016 12:00:00 PM",30.2,10.5,168,5,205.7,14.64,14.64,14.67,14.66,14.64,14.62,14.65,14.62,14.62,14.62,14.63,14.62,14.63,14.65,14.66,14.63,14.62,14.6,14.61,14.58,14.55,14.54,14.57,14.49,14.39,14.25,14.01,13.85,13.26,12.62,11.91,10.52,9.1,8.94,8.64,8.51,8.35,8.25,8.01
"10/20/2016 12:15:00 PM",30.2,10.6,159,4.5,197.3,14.64,14.64,14.67,14.67,14.64,14.62,14.66,14.62,14.63,14.62,14.63,14.63,14.63,14.65,14.66,14.64,14.62,14.6,14.6,14.56,14.55,14.54,14.57,14.49,14.39,14.25,14.03,13.71,12.97,12.59,11.61,10.38,9.06,8.92,8.64,8.52,8.41,8.16,8.03
"10/20/2016 12:30:00 PM",30.2,10.4,-100000,-1e+05,204.8,14.64,14.64,14.67,14.67,14.64,14.62,14.65,14.62,14.63,14.62,14.63,14.63,14.63,14.65,14.66,14.63,14.6,14.56,14.56,14.56,14.54,14.53,14.51,14.42,14.27,14.14,13.88,13.33,12.92,12.53,11.95,10.49,9.1,8.93,8.63,8.5,8.42,8.15,8.03
"10/20/2016 12:45:00 PM",30.2,10.6,155,5.1,201.1,14.65,14.64,14.67,14.67,14.64,14.62,14.65,14.62,14.62,14.62,14.62,14.62,14.62,14.64,14.64,14.62,14.6,14.59,14.56,14.56,14.55,14.53,14.52,14.45,14.3,14.15,13.9,13.2,12.91,12.52,11.87,10.24,9.09,8.92,8.62,8.49,8.37,8.21,8.05
"10/20/2016 13:00:00 PM",30.2,10.6,130,2.8,205.3,14.65,14.64,14.67,14.67,14.64,14.63,14.66,14.63,14.63,14.62,14.63,14.63,14.63,14.65,14.66,14.63,14.6,14.59,14.56,14.56,14.55,14.5,14.51,14.43,14.3,14.15,13.69,13.05,12.86,12.46,11.83,10.15,9.04,8.92,8.62,8.47,8.31,8.15,8.05
"10/20/2016 13:15:00 PM",30.2,11,74,2.7,203.4,14.65,14.65,14.68,14.67,14.64,14.63,14.66,14.63,14.63,14.62,14.63,14.63,14.63,14.65,14.65,14.62,14.59,14.58,14.57,14.56,14.55,14.53,14.52,14.45,14.36,14.24,13.97,13.35,12.89,12.49,11.81,10.13,9.19,8.93,8.65,8.47,8.34,8.25,8.06
"10/20/2016 13:30:00 PM",30.2,11.3,90,2.9,205.2,14.66,14.65,14.68,14.68,14.64,14.63,14.66,14.63,14.63,14.62,14.63,14.63,14.64,14.66,14.65,14.61,14.56,14.55,14.55,14.56,14.55,14.52,14.52,14.43,14.34,14.2,13.87,13.11,12.76,12.48,12.05,10.18,9.14,8.9,8.56,8.47,8.36,8.27,8.05
"10/20/2016 13:45:00 PM",30.2,11.4,195,3.8,201,14.66,14.65,14.68,14.68,14.65,14.63,14.66,14.63,14.63,14.62,14.63,14.63,14.63,14.64,14.64,14.61,14.58,14.57,14.56,14.56,14.55,14.53,14.53,14.45,14.37,14.23,13.83,13.19,12.86,12.48,11.96,10.08,9.09,8.87,8.57,8.47,8.35,8.24,8.06
"10/20/2016 14:00:00 PM",30.2,11,150,6.2,202.5,14.66,14.65,14.68,14.67,14.65,14.63,14.66,14.63,14.63,14.62,14.63,14.63,14.63,14.64,14.64,14.61,14.58,14.57,14.56,14.56,14.55,14.53,14.53,14.44,14.38,14.28,13.85,13.18,12.87,12.51,11.84,9.99,9.16,8.91,8.8,8.54,8.43,8.3,8.11
"10/20/2016 14:15:00 PM",30.1,10.7,159,6.1,203.7,14.65,14.64,14.68,14.68,14.65,14.63,14.66,14.63,14.63,14.62,14.63,14.63,14.62,14.64,14.64,14.59,14.57,14.56,14.55,14.55,14.54,14.53,14.53,14.45,14.39,14.32,13.91,13.24,12.86,12.52,11.78,10.14,9.13,8.9,8.62,8.51,8.38,8.29,8.13
